chrom	seg	num.mark	nhet	cnlr.median	mafR	segclust	cnlr.median.clust	mafR.clust	start	end	cf.em	tcn.em	lcn.em
1	1	10568	1207	-0.0446112084039862	0.000184965811981108	17	-0.0567535549155999	-0.00134733246996399	13313	35030762	1	2	1
1	2	704	35	-0.904063051607139	0.801022310266989	3	-0.907368673892385	0.926812922752443	35093880	37255925	0.466282872565466	0	0
1	3	1147	85	-0.0270582732494285	-0.00874784828540363	17	-0.0567535549155999	-0.00134733246996399	37475628	40771606	1	2	1
1	4	526	60	-0.573125254640975	0.401010368991463	9	-0.556551473675354	0.385968826567618	40784307	43145310	0.512175579797602	1	0
1	5	1107	27	-0.0516468523330911	-0.00544507389127446	17	-0.0567535549155999	-0.00134733246996399	43147944	45623978	1	2	1
1	6	774	0	0.82214091236285	0	27	0.82341656998081	NA	45628300	50970458	0.512175579797602	5	NA
1	7	266	0	0.011054513781586	0	20	-0.00699365562030798	NA	50970693	52083136	NA	2	NA
1	8	2958	4	0.860054803042342	0.0831487266814371	27	0.82341656998081	NA	52083587	81991121	0.512175579797602	5	NA
1	9	1990	204	0.0166384309758588	-0.00400313488992732	19	-0.00699365562030798	-0.000839476445154428	81994016	98046315	1	2	1
1	10	1729	2	0.82025674157261	0.320569370635588	27	0.82341656998081	NA	98661797	112540817	0.512175579797602	5	NA
1	11	185	23	0.0332000617280613	0.010027458908539	21	0.0429215363457578	-0.000506203192975336	112541055	113450553	1	2	1
1	12	253	0	0.88229998922427	0	27	0.82341656998081	NA	113450803	114464511	0.512175579797602	5	NA
1	13	62	4	-0.068613697207308	0.134535189535357	18	-0.0567535549155999	NA	114510450	114673252	NA	2	NA
1	14	665	0	0.85372517531344	0	27	0.82341656998081	NA	114673468	119393874	0.512175579797602	5	NA
1	15	945	67	0.00088177912167757	-0.00187307899706381	19	-0.00699365562030798	-0.000839476445154428	119415434	150159098	1	2	1
1	16	754	85	-0.568844074062853	0.420482010322327	9	-0.556551473675354	0.385968826567618	150159549	151326411	0.512175579797602	1	0
1	17	9273	866	-0.0298639919077512	0.00307608389941229	17	-0.0567535549155999	-0.00134733246996399	151341903	190455008	1	2	1
1	18	117	0	0.852798940453686	0	27	0.82341656998081	NA	192158732	193250850	0.512175579797602	5	NA
1	19	1393	148	-0.0215163092835538	-0.00354900549313229	19	-0.00699365562030798	-0.000839476445154428	194189046	202349188	1	2	1
1	20	732	84	-0.54921714789895	0.375013627491562	9	-0.556551473675354	0.385968826567618	202416753	204251904	0.512175579797602	1	0
1	21	895	99	-0.00930596052458585	-0.0120461866800076	19	-0.00699365562030798	-0.000839476445154428	204255727	207182629	1	2	1
1	22	308	35	-0.508904375693733	0.363645601760659	11	-0.502673152045991	0.375704587371674	207321675	208142460	0.512175579797602	1	0
1	23	6052	656	-0.00404606978555724	-0.00276879352200974	19	-0.00699365562030798	-0.000839476445154428	208210165	248858519	1	2	1
2	24	597	78	0.004763607542502	-0.0194011439064762	19	-0.00699365562030798	-0.000839476445154428	41463	8877258	1	2	1
2	25	282	38	-0.502962328016337	0.393329058046457	11	-0.502673152045991	0.375704587371674	8882461	10043672	0.512175579797602	1	0
2	26	8925	974	0.000512884864540413	-0.00142207048537925	19	-0.00699365562030798	-0.000839476445154428	10043958	73292634	1	2	1
2	27	576	41	-0.555982809704149	0.360725693762993	9	-0.556551473675354	0.385968826567618	73293212	74514003	0.512175579797602	1	0
2	28	11045	1144	-0.00339129424892629	0.00209211205544753	19	-0.00699365562030798	-0.000839476445154428	74514246	172102574	1	2	1
2	29	172	22	-0.477612099826422	0.2952344428686	11	-0.502673152045991	0.375704587371674	172376270	173210021	0.512175579797602	1	0
2	30	12000	1257	-0.0186150303655541	0.00139907804031503	19	-0.00699365562030798	-0.000839476445154428	173217141	242119940	1	2	1
3	31	1800	130	-0.0209822235187583	-0.00939710234040125	19	-0.00699365562030798	-0.000839476445154428	197618	12749862	1	2	1
3	32	305	42	-0.569900714377399	0.420542023339052	9	-0.556551473675354	0.385968826567618	12769266	13819456	0.512175579797602	1	0
3	33	103	24	-0.111132531628577	-0.0157773444099858	17	-0.0567535549155999	-0.00134733246996399	13854309	14178595	1	2	1
3	34	4820	475	-0.00165850566817375	-0.00177078666358896	19	-0.00699365562030798	-0.000839476445154428	14178872	47381060	1	2	1
3	35	2391	133	-0.0657488306548184	-0.00274032144420886	17	-0.0567535549155999	-0.00134733246996399	47381213	51718337	1	2	1
3	36	1019	100	-0.604366322040249	0.387542307273324	8	-0.623540407656209	0.410724636486288	51778696	52840430	0.512175579797602	1	0
3	37	6053	622	-0.0105743612165508	0.00563486220481017	19	-0.00699365562030798	-0.000839476445154428	52840737	121931632	1	2	1
3	38	354	50	-0.494261078122228	0.396366012310944	11	-0.502673152045991	0.375704587371674	121931752	123067372	0.512175579797602	1	0
3	39	659	81	0.016022803136066	-0.00840216476985548	19	-0.00699365562030798	-0.000839476445154428	123088013	125816198	1	2	1
3	40	583	19	-0.553183464483895	0.385776219717226	9	-0.556551473675354	0.385968826567618	125816291	128052158	0.512175579797602	1	0
3	41	996	132	-0.0205745857417056	0.00132457421492777	19	-0.00699365562030798	-0.000839476445154428	128052605	132243858	1	2	1
3	42	654	52	-0.506907854451597	0.311732452776996	11	-0.502673152045991	0.375704587371674	132244047	134651173	0.512175579797602	1	0
3	43	3266	319	0.0168395272667833	-0.00707649898833165	19	-0.00699365562030798	-0.000839476445154428	134795620	169381589	1	2	1
3	44	258	11	-0.497211293243848	0.453973807217735	12	-0.502673152045991	NA	169566133	170486377	0.512175579797602	1	0
3	45	3915	409	-0.00556482558111682	-0.00171892409341942	19	-0.00699365562030798	-0.000839476445154428	170495476	197960622	1	2	1
4	46	5717	678	-0.00323170606789899	0.000477425572883825	19	-0.00699365562030798	-0.000839476445154428	53100	49109752	1	2	1
4	47	17	11	0.645549718627363	0.0536658229093082	23	0.645549718627363	NA	49109780	49163601	0.139374770729855	6	NA
4	48	758	98	0.0268563092596318	0.00466407818913904	21	0.0429215363457578	-0.000506203192975336	49233489	60922771	1	2	1
4	49	834	137	-0.106192261587266	0.00305583314201634	17	-0.0567535549155999	-0.00134733246996399	60922860	70597025	1	2	1
4	50	8613	869	0.00864072620462401	0.000158687396636765	19	-0.00699365562030798	-0.000839476445154428	70598406	158171397	1	2	1
4	51	200	13	-0.544566348270612	0.51882555297654	10	-0.556551473675354	NA	158212625	159282482	0.512175579797602	1	0
4	52	1372	159	-0.011822032293484	-0.00761839683636349	19	-0.00699365562030798	-0.000839476445154428	159282785	184001516	1	2	1
4	53	190	37	-0.509590568746175	0.545656274892966	11	-0.502673152045991	0.375704587371674	184009204	184911242	0.512175579797602	1	0
4	54	587	76	-0.0257505748179469	-0.00457119732665521	19	-0.00699365562030798	-0.000839476445154428	184938351	190179679	1	2	1
5	55	13014	1319	0.0111724973367094	0.00328022439901078	19	-0.00699365562030798	-0.000839476445154428	58590	138783264	1	2	1
5	56	512	12	-0.591337836329015	0.46041013077087	10	-0.556551473675354	NA	138783425	140582227	0.512175579797602	1	0
5	57	129	0	-0.0528030960979201	0	18	-0.0567535549155999	NA	140631778	140704414	NA	2	NA
5	58	595	6	-0.152403983842979	-0.000295988396305089	16	-0.155550273404848	NA	140704578	141422832	NA	2	NA
5	59	6178	750	-0.0180480309854403	0.00200375794848343	19	-0.00699365562030798	-0.000839476445154428	141423009	180902587	1	2	1
6	60	761	96	0.0192412666835961	0.00469280470731127	19	-0.00699365562030798	-0.000839476445154428	203292	7390207	1	2	1
6	61	233	41	-0.525327212806108	0.342896368329044	9	-0.556551473675354	0.385968826567618	7393219	8435495	0.512175579797602	1	0
6	62	84	8	-0.0998623874860702	0.00544186775536204	18	-0.0567535549155999	NA	9616004	10509111	NA	2	NA
6	63	2350	331	0.0483374772181187	-0.00354902403070256	21	0.0429215363457578	-0.000506203192975336	10509365	29003630	1	2	1
6	64	3204	766	-0.078266534987569	-0.00562536856278098	17	-0.0567535549155999	-0.00134733246996399	29003933	34392419	1	2	1
6	65	666	64	-0.529966052495375	0.340056638862862	9	-0.556551473675354	0.385968826567618	34417469	36210080	0.512175579797602	1	0
6	66	7684	771	-0.0160369144936049	0.000361807411401606	19	-0.00699365562030798	-0.000839476445154428	36210153	104859593	1	2	1
6	67	293	37	-0.713196093487041	0.0224157416656072	7	-0.713196093487041	0.0224157416656072	104939985	107274099	0.39014127296838	0	0
6	68	3533	317	-0.44000108651811	0.294849877253507	13	-0.438833741510737	0.297006995483725	107334236	135509097	0.512175579797602	1	0
6	69	307	10	-0.823613862975554	0.863707508486316	5	-0.823613862975554	NA	135518528	137707208	0.434057654809253	0	0
6	70	2327	224	0.0108793334427093	-0.00254720516816468	19	-0.00699365562030798	-0.000839476445154428	137871308	156829219	1	2	1
6	71	430	65	-0.533093012955553	0.310394853798075	9	-0.556551473675354	0.385968826567618	156829490	158789726	0.512175579797602	1	0
